organism	ph
Acinetobacter brisouii	7.2
Acinetobacter calcoaceticus	7.11
Acinetobacter gerneri	7.3
Acinetobacter guillouiae	7
Acinetobacter gyllenbergii	7.3
Acinetobacter haemolyticus	7.3
Acinetobacter indicus	7.3
Acinetobacter johnsonii	7.24
Acinetobacter junii	7.22
Acinetobacter kookii	7.3
Acinetobacter lwoffii	7.24
Acinetobacter marinus	7.3
Acinetobacter parvus	7.3
Acinetobacter pittii	7.17
Acinetobacter radioresistens	7.3
Acinetobacter rudis	7.2
Acinetobacter schindleri	7
Acinetobacter seohaensis	7.3
Acinetobacter soli	7.1
Acinetobacter sp.	7.18
Acinetobacter tandoii	7.3
Acinetobacter tjernbergiae	7.3
Acinetobacter towneri	7.3
Acinetobacter ursingii	7.05
Acinetobacter venetianus	7.1
Acremonium atrogriseum	5.6
Acrocarpospora corrugata	7.2
Acrocarpospora macrocephala	7.2
Acrocarpospora phusangensis	7.2
Acrocarpospora pleiomorpha	7.2
Actibacterium mucosum	7.6
Actinaurispora siamensis	7.2
Actinoallomurus acaciae	7.2
Actinoallomurus acanthiterrae	7.2
Actinoallomurus amamiensis	7.2
Actinoallomurus coprocola	7.2
Actinoallomurus fulvus	7.2
Actinoallomurus iriomotensis	7.2
Actinoallomurus liliacearum	7.2
Actinoallomurus luridus	7.2
Actinoallomurus oryzae	7.2
Actinoallomurus purpureus	7.2
Actinoallomurus radicium	7.2
Actinoallomurus spadix	7.2
Actinoallomurus vinaceus	7.2
Actinoallomurus yoronensis	7.2
Actinoalloteichus cyanogriseus	7.2
Actinoalloteichus hymeniacidonis	7.2
Actinoalloteichus nanshanensis	7.2
Actinoalloteichus spitiensis	7.25
Actinobaculum massiliae	7.17
Actinobaculum massiliense	7.17
Actinobaculum suis	7
Actinobaculum urinale	7.2
Actinobifida chromogena	7.14
Actinobispora alaniniphila	7.2
Actinobispora aurantiaca	7.2
Actinobispora xinjiangensis	7.2
Actinocatenispora rupis	7.2
Actinocatenispora sera	7.25
Actinocatenispora thailandica	7.2
Actinocorallia aurantiaca	7.5
Actinocorallia aurea	7.2
Actinocorallia cavernae	7.2
Actinocorallia glomerata	7.2
Actinocorallia herbida	7.2
Actinocorallia libanotica	7.18
Actinocorallia longicatena	7.2
Actinokineospora auranticolor	7.2
Actinokineospora baliensis	7.3
Actinokineospora bangkokensis	7.25
Actinokineospora cibodasensis	7.25
Actinokineospora diospyrosa	7.2
Actinokineospora enzanensis	7.15
Actinokineospora fastidiosa	7.2
Actinokineospora globicatena	7.2
Actinokineospora inagensis	7.2
Actinokineospora riparia	7.2
Actinokineospora soli	7.2
Actinokineospora terrae	7.2
Actinomadura africana	7.2
Actinomadura alba	7.2
Actinomadura apis	7.2
Actinomadura atramentaria	7.2
Actinomadura aurantiaca	7.5
Actinomadura bangladeshensis	7.2
Actinomadura catellatispora	7.2
Actinomadura chibensis	7.2
Actinomadura chokoriensis	7.2
Actinomadura citrea	7.2
Actinomadura coerulea	7.2
Actinomadura coeruleofusca	7.2
Actinomadura coeruleoviolacea	7.2
Actinomadura cremea	7.2
Actinomadura echinospora	7.2
Actinomadura fastidiosa	7.2
Actinomadura ferruginea	7.2
Actinomadura fibrosa	7.2
Actinomadura flava	7.2
Actinomadura flavalba	7.2
Actinomadura formosensis	7.2
Actinomadura fulvescens	7.2
Actinomadura geliboluensis	7.2
Actinomadura glauciflava	7.2
Actinomadura glomerata	7.2
Actinomadura hallensis	7.25
Actinomadura helvata	7.2
Actinomadura hibisca	7.2
Actinomadura keratinilytica	7.2
Actinomadura kijaniata	7.2
Actinomadura latina	7.5
Actinomadura libanotica	7.18
Actinomadura livida	7.2
Actinomadura longicatena	7.2
Actinomadura longispora	7.2
Actinomadura luteofluorescens	7.2
Actinomadura macra	7.2
Actinomadura madurae	7.19
Actinomadura malachitica	7.2
Actinomadura meridiana	7.25
Actinomadura mexicana	7.3
Actinomadura meyerae	7.2
Actinomadura namibiensis	7.2
Actinomadura napierensis	7.2
Actinomadura nitritigenes	7.2
Actinomadura oligospora	7.2
Actinomadura pelletieri	7.23
Actinomadura polychroma	7.2
Actinomadura pusilla	7.2
Actinomadura recticatena	7
Actinomadura rifamycini	7.2
Actinomadura roseola	7.2
Actinomadura roseoviolacea	7.2
Actinomadura rubra	7.07
Actinomadura rubrobrunea	6.8
Actinomadura rudentiformis	7.2
Actinomadura rugatobispora	7.2
Actinomadura rupiterrae	7.2
Actinomadura salmonea	7.2
Actinomadura scrupuli	7.2
Actinomadura sediminis	7.2
Actinomadura sp.	7.17
Actinomadura spadix	7.2
Actinomadura spiralis	7.2
Actinomadura sputi	7.3
Actinomadura turkmeniaca	7.2
Actinomadura umbrina	7.2
Actinomadura verrucosospora	7.15
Actinomadura vinacea	7.2
Actinomadura viridis	7.2
Actinomadura xylanilytica	7.2
Actinomyces asterosporus	7.2
Actinomyces candidus	7.2
Actinomyces cardiffensis	7.2
Actinomyces dentalis	7.2
Actinomyces denticolens	7.2
Actinomyces enissocaesilis	7.2
Actinomyces europaeus	7.2
Actinomyces flavofungini	7.2
Actinomyces flavovariabilis	7.2
Actinomyces flavoviridis	7.2
Actinomyces glaucosporus	7.2
Actinomyces glaucus	7.2
Actinomyces graevenitzii	7.2
Actinomyces hominis	6.9
Actinomyces hordeovulneris	7.2
Actinomyces hyovaginalis	7.8
Actinomyces israelii	7
Actinomyces johnsonii	7.2
Actinomyces malachitospinus	7.2
Actinomyces massiliensis	7.2
Actinomyces megasporus	7.2
Actinomyces meyeri	7.2
Actinomyces naeslundii	6.9
Actinomyces nasicola	7.2
Actinomyces naturae	7.2
Actinomyces oricola	7.2
Actinomyces oris	7.2
Actinomyces pyogenes	7.2
Actinomyces rectiviolaceus	7.2
Actinomyces rubrogriseus	7.2
Actinomyces ruminicola	7.2
Actinomyces sporocinereus	7.2
Actinomyces suis	7
Actinomyces tauricus	7.2
Actinomyces timonensis	7.2
Actinomyces turicensis	7.2
Actinomyces vaccimaxillae	7.2
Actinomyces wedmorensis	7.3
Actinomyces weissii	7.2
Actinomycetospora atypica	7.2
Actinomycetospora chiangmaiensis	7.2
Actinomycetospora chibensis	7.2
Actinomycetospora chlora	7.2
Actinomycetospora cinnamomea	7.2
Actinomycetospora corticicola	7.2
Actinomycetospora iriomotensis	7.2
Actinomycetospora lutea	7.2
Actinomycetospora rishiriensis	7.2
Actinomycetospora straminea	7.2
Actinomycetospora succinea	7.2
Actinophytocola burenkhanensis	7.2
Actinophytocola corallina	7.25
Actinophytocola gilvus	7.2
Actinophytocola oryzae	7.3
Actinophytocola sediminis	7.3
Actinophytocola timorensis	7.2
Actinophytocola xinjiangensis	7.2
Actinoplanes abujensis	7.2
Actinoplanes armeniacus	7.2
Actinoplanes atraurantiacus	7.2
Actinoplanes aurantiacus	7.13
Actinoplanes auranticolor	7.2
Actinoplanes brasiliensis	7.17
Actinoplanes caeruleus	7.2
Actinoplanes campanulatus	7.3
Actinoplanes capillaceus	7.15
Actinoplanes consettensis	7.2
Actinoplanes couchii	7.2
Actinoplanes cyaneus	7.1
Actinoplanes deccanensis	7.2
Actinoplanes derwentensis	7.2
Actinoplanes digitatis	7.3
Actinoplanes durhamensis	7.2
Actinoplanes ferrugineus	7.2
Actinoplanes friuliensis	7.2
Actinoplanes garbadinensis	7.2
Actinoplanes globisporus	7.2
Actinoplanes hulinensis	7.2
Actinoplanes humidus	7.2
Actinoplanes ianthinogenes	7.2
Actinoplanes italicus	7.3
Actinoplanes liguriensis	7.2
Actinoplanes lobatus	7.3
Actinoplanes lutulentus	7.2
Actinoplanes minutisporangius	7.2
Actinoplanes missouriensis	7.2
Actinoplanes nipponensis	7.2
Actinoplanes octamycinicus	7.2
Actinoplanes palleronii	7.2
Actinoplanes philippinensis	7.2
Actinoplanes rectilineatus	7.2
Actinoplanes regularis	7.25
Actinoplanes rishiriensis	7.2
Actinoplanes sichuanensis	7.2
Actinoplanes sp.	7.13
Actinoplanes teichomyceticus	7.1
Actinoplanes tereljensis	7.2
Actinoplanes toevensis	7.2
Actinoplanes utahensis	7.3
Actinoplanes xinjiangensis	7.2
Actinopolymorpha alba	7.3
Actinopolymorpha cephalotaxi	7.2
Actinopolymorpha pittospori	7.2
Actinopolymorpha rutila	7.2
Actinopolymorpha singaporensis	7.2
Actinopolyspora alba	7.2
Actinopolyspora algeriensis	7.4
Actinopolyspora erythraea	7.2
Actinopolyspora halophila	7.4
Actinopolyspora iraqiensis	7.3
Actinopolyspora mortivallis	7.4
Actinopolyspora mzabensis	7.4
Actinopolyspora righensis	7.4
Actinopolyspora saharensis	7.4
Actinopolyspora sp.	7.26
Actinopycnidium caeruleum	7.2
Actinospica acidiphila	7.2
Actinospica robiniae	7.2
Actinosporangium violaceum	7.2
Actinosporangium vitaminophilum	7.2
Actinosynnema mirum	7.25
Actinosynnema pretiosum	7.2
Actinotalea fermentans	7.4
Adhaeribacter aquaticus	7.2
Adlercreutzia equolifaciens	6.95
Advenella incenata	7.3
Advenella kashmirensis	7
Advenella mimigardefordensis	7
Aequorivita capsosiphonis	7.6
Aequorivita crocea	7.6
Aequorivita lipolytica	7.6
Aequorivita sublithincola	7.6
Aeribacillus pallidus	7.9
Aeriscardovia aeriphila	6.8
Aerococcus christensenii	7.2
Aerococcus sanguicola	7.1
Aerococcus sanguinicola	7.1
Aerococcus sp.	7.1
Aerococcus urinae	7.1
Aerococcus urinaeequi	7.1
Aerococcus vaginalis	6.35
Aerococcus viridans	7.1
Aeromicrobium alkaliterrae	7.1
Aeromicrobium erythreum	7.1
Aeromicrobium fastidiosum	7.2
Aeromicrobium flavum	7.1
Aeromicrobium ginsengisoli	7.15
Aeromicrobium halocynthiae	7.6
Aeromicrobium marinum	7.6
Aeromicrobium massiliense	7.1
Aeromicrobium panaciterrae	7.2
Aeromicrobium ponti	7.1
Aeromicrobium sp.	7.2
Aeromicrobium tamlense	7.2
Aeromonas allosaccharophila	7.15
Aeromonas aquariorum	7.3
Aeromonas australiensis	7
Aeromonas bestiarum	7.3
Aeromonas bivalvium	7
Aeromonas caviae	7
Aeromonas culicicola	7.27
Aeromonas diversa	7.3
Aeromonas encheleia	7.3
Aeromonas enteropelogenes	7.1
Aeromonas eucrenophila	7.15
Aeromonas fluvialis	7.3
Aeromonas hydrophila	7.12
Aeromonas jandaei	7.3
Aeromonas media	7.2
Aeromonas molluscorum	7.3
Aeromonas piscicola	7.15
Aeromonas popoffii	7
Aeromonas rivuli	7.3
Aeromonas salmonicida	7.08
Aeromonas sanarellii	7.3
Aeromonas schubertii	7.3
Aeromonas sharmana	7
Aeromonas simiae	7.3
Aeromonas sobria	7.15
Aeromonas sp.	7.3
Aeromonas taiwanensis	7.3
Aeromonas tecta	7.3
Aeromonas tructi	7.1
Aeromonas veronii	7.27
Aeropyrum camini	7.35
Aeropyrum pernix	7.35
Aestuariibacter aggregatus	7.6
Aestuariibacter halophilus	7.6
Aestuariibacter salexigens	7.6
Afifella marina	6.8
Afifella pfennigii	6.8
Afipia birgiae	6.9
Afipia broomeae	6.95
Afipia clevelandensis	6.9
Afipia felis	6.97
Afipia massiliensis	6.9
Afipia sp.	7.2
Agaricus arvensis	5.6
Agaricus bisporus	5.6
Agaricus bitorquis	5.6
Agaricus macrocarpus	5.6
Agaricus silvicola	5.6
Agaricus subrufescens	5.6
Agaricus xanthoderma	5.82
Agitococcus lubricus	7.2
Agreia bicolorata	7.05
Agreia pratensis	7.1
Agrobacterium agile	7.6
Agrobacterium atlanticum	7.6
Agrobacterium ferrugineum	7.6
Agrobacterium gelatinovorum	7.6
Agrobacterium kieliense	7.6
Agrobacterium luteum	7.6
Agrobacterium meteori	7.6
Agrobacterium radiobacter	7.1
Agrobacterium rhizogenes	7
Agrobacterium rubi	7
Agrobacterium sp.	7.06
Agrobacterium stellulatum	7.6
Agrobacterium tumefaciens	7.1
Agrobacterium vitis	7
Agrococcus baldri	7.1
Agrococcus carbonis	7.1
Agrococcus casei	7.1
Agrococcus citreus	7.1
Agrococcus jejuensis	7.1
Agrococcus jenensis	7.1
Agrococcus lahaulensis	7.1
Agrococcus terreus	7.1
Agrococcus versicolor	7.1
Agrocybe aegerita	5.6
Agrocybe arvalis	5.6
Agrocybe dura	5.6
Agrocybe praecox	5.6
Agromonas oligotrophica	7.1
Agromyces albus	7.1
Agromyces allii	7.1
Agromyces atrinae	7.6
Agromyces aurantiacus	7.4
Agromyces bauzanensis	7.2
Agromyces bracchium	7
Agromyces cerinus	7.1
Agromyces flavus	7.1
Agromyces fucosus	7.1
Agromyces hippuratus	7.1
Agromyces humatus	7.15
Agromyces indicus	7.2
Agromyces iriomotensis	7.1
Agromyces italicus	7.15
Agromyces lapidis	7.15
Agromyces luteolus	7
Agromyces mediolanus	7.15
Agromyces neolithicus	7.15
Agromyces rhizospherae	7
Agromyces salentinus	7.15
Agromyces soli	7.1
Agromyces subbeticus	7.1
Agromyces subtropicus	7.6
Agromyces terreus	7.1
Agromyces tropicus	7.1
Agromyces ulmi	7.1
Ahrensia kielensis	7.6
Aidingimonas halophila	7.6
Akkermansia muciniphila	7.2
Albibacter methylovorans	6.95
Albidiferax ferrireducens	6.9
Albidoferax ferrireducens	6.9
Albidovulum inexpectatum	7.2
Albidovulum xiamenense	7.6
Albimonas donghaensis	7.6
Alcaligenes aestus	7.6
Alcaligenes aquamarinus	7.6
Alcaligenes carboxydus	6.9
Alcaligenes cupidus	7.6
Alcaligenes defragrans	7
Alcaligenes denitrificans	7.14
Alcaligenes eutrophus	6.89
Alcaligenes faecalis	7.22
Alcaligenes latus	6.87
Alcaligenes odorans	7.16
Alcaligenes pacificus	7.6
Alcaligenes paradoxus	6.91
Alcaligenes piechaudii	7.15
Alcaligenes ruhlandii	6.87
Alcaligenes sp.	6.89
Alcaligenes venustus	7.4
Alcaligenes xylosoxidans	7.14
Alcanivorax balearicus	7.2
Alcanivorax borkumensis	7.42
Alcanivorax dieselolei	7.6
Alcanivorax jadensis	7.6
Alcanivorax venustensis	7.6
Aleurodiscus amorphus	5.6
Algibacter lectus	7.6
Algibacter pectinivorans	7.6
Algicola sagamiensis	7.6
Algoriphagus alkaliphilus	8
Algoriphagus antarcticus	7.6
Algoriphagus aquaeductus	8
Algoriphagus aquimarinus	7.6
Algoriphagus boritolerans	7.3
Algoriphagus chordae	7.6
Algoriphagus faecimaris	7.6
Algoriphagus halophilus	7.6
Algoriphagus hitonicola	7.6
Algoriphagus locisalis	7.6
Algoriphagus machipongonensis	7.6
Algoriphagus mannitolivorans	7.6
Algoriphagus marincola	7.6
Algoriphagus ornithinivorans	7.6
Algoriphagus ratkowskyi	7.6
Algoriphagus terrigena	7.6
Algoriphagus vanfongensis	7.6
Algoriphagus winogradskyi	7.6
Algoriphagus yeomjeoni	7.6
Algoriphagus zhangzhouensis	7.6
Aliagarivorans marinus	7.6
Aliagarivorans taiwanensis	7.6
Alicycliphilus denitrificans	7.33
Alicyclobacillus acidiphilus	5.4
Alicyclobacillus acidocaldarius	5.4
Alicyclobacillus acidoterrestris	5.4
Alicyclobacillus consociatus	7.2
Alicyclobacillus contaminans	3.5
Alicyclobacillus cycloheptanicus	5.4
Alicyclobacillus disulfidooxidans	2.25
Alicyclobacillus fastidiosus	3.5
Alicyclobacillus ferrooxydans	2.15
Alicyclobacillus herbarius	3.5
Alicyclobacillus hesperidum	5.4
Alicyclobacillus kakegawensis	3.5
Alicyclobacillus macrosporangiidus	3.5
Alicyclobacillus pohliae	5.5
Alicyclobacillus pomorum	5.4
Alicyclobacillus sacchari	3.5
Alicyclobacillus sendaiensis	5.4
Alicyclobacillus shizuokensis	3.5
Alicyclobacillus sp.	5.4
Alicyclobacillus tengchongensis	5.4
Alicyclobacillus vulcanalis	5.4
Aliicoccus persicus	7.6
Aliidiomarina maris	7.6
Aliifodinibius roseus	7.6
Aliifodinibius sediminis	7.6
Aliihoeflea aestuarii	7.6
Aliivibrio finisterrensis	7.6
Aliivibrio fischeri	7.48
Aliivibrio logei	7.3
Aliivibrio salmonicida	7.3
Aliivibrio sifiae	7.6
Aliivibrio wodanis	7.6
Alishewanella aestuarii	7.3
Alishewanella agri	7.3
Alishewanella jeotgali	7.3
Alishewanella tabrizica	7.6
Alistipes finegoldii	7.2
Alistipes indistinctus	7.2
Alistipes onderdonkii	7
Alistipes putredinis	7
Alistipes shahii	7
Alistipes timonensis	7.2
Alkalibacillus almallahensis	7.6
Alkalibacillus filiformis	9
Alkalibacillus flavidus	7.3
Alkalibacillus haloalkaliphilus	8.35
Alkalibacillus halophilus	7.1
Alkalibacillus salilacus	7.6
Alkalibacillus silvisoli	7.1
Alkalibacter saccharofermentans	9.4
Alkalibacterium gilvum	9.6
Alkalibacterium kapii	9.6
Alkalibacterium pelagium	9.6
Alkalibacterium putridalgicola	9.6
Alkalibacterium subtropicum	9.6
Alkalibacterium thalassium	9.6
Alkalibaculum bacchi	7.3
Alkaliflexus imshenetskii	10
Alkalilimnicola ehrlichii	9.8
Alkalilimnicola halodurans	7.75
Alkalimonas amylolytica	9.6
Alkalimonas delamerensis	9.6
Alkaliphilus halophilus	8
Alkaliphilus oremlandii	7.2
Alkaliphilus peptidifermentans	8.3
Alkaliphilus peptidofermentans	8.3
Alkalispirillum mobile	9
Alkanindiges illinoisensis	7
Allisonella histaminiformans	6.38
Alloactinosynnema album	7.2
Allobaculum stercoricanis	7.1
Allocatelliglobosispora scoriae	7.2
Allochromatium minutissimum	7.05
Allochromatium palmeri	7.05
Allochromatium phaeobacterium	7.1
Allochromatium vinosum	7.05
Allochromatium warmingii	7.05
Allofustis seminis	7.2
Allokutzneria albata	7.2
Allokutzneria multivorans	7.2
Allonocardiopsis opalescens	7.3
Alloprevotella rava	7.2
Alloscardovia criceti	6.8
Alloscardovia macacae	6.35
Alloscardovia omnicolens	6.8
Alpinimonas psychrophila	7.2
Altererythrobacter marensis	7.6
Alteribacillus bidgolensis	7.6
Alternaria alternata	7.2
Alternaria calendulae	7.2
Alternaria cinerariae	7.2
Alternaria citri	7.2
Alternaria dauci	7.2
Alternaria leucanthemi	7.2
Alternaria lini	7.2
Alternaria longissima	7.2
Alternaria mali	7.2
Alternaria padwickii	7.2
Alternaria radicina	7.2
Alternaria raphani	7.2
Alternaria sesami	7.2
Alternaria solani	7.2
Alternaria tenuis	7.2
Alternaria tenuissima	7.2
Alternaria zinniae	7.2
Alteromonas addita	7.6
Alteromonas atlantica	7.6
Alteromonas aurantia	7.6
Alteromonas carrageenovora	7.3
Alteromonas citrea	7.6
Alteromonas colwelliana	7.6
Alteromonas denitrificans	7.6
Alteromonas espejiana	7.3
Alteromonas fuliginea	7.6
Alteromonas genovensis	7.6
Alteromonas haloplanktis	7.6
Alteromonas hanedai	7.6
Alteromonas luteoviolacea	7.6
Alteromonas macleodii	7.6
Alteromonas nigrifaciens	7.4
Alteromonas putrefaciens	7
Alteromonas rubra	7.6
Alteromonas sp.	7.6
Alteromonas stellipolaris	7.6
Alteromonas tetraodonis	7.6
Alteromonas undina	7.6
Alysiella crassa	7
Amanita citrina	5.6
Amanita porphyria	5.6
Amanita rubescens	6.05
Amantichitinum ursilacus	7
Amauroascus aureus	5.6
Ambrosiella ferruginea	5.6
Ambrosiella gnathotrichi	5.6
Ambrosiella hartigii	5.6
Ambrosiella sulcati	5.6
Ambrosiella sulfurea	5.6
Ambrosiella xylebori	5.6
Aminiphilus circumscriptus	7.05
Aminivibrio pyruvatiphilus	7.1
Aminobacter aganoensis	7
Aminobacter aminovorans	6.76
Aminobacter ciceronei	7.2
Aminobacter lissarensis	7.2
Aminobacter niigataensis	7
Aminobacter sp.	6.88
Aminobacterium colombiense	7.07
Aminobacterium mobile	7.07
Aminomonas paucivorans	7.07
Ammonifex degensii	7
Ammonifex thiophilus	7.1
Ammoniphilus oxalaticus	8.75
Ammoniphilus oxalivorans	8.75
Amnibacterium kyonggiense	7.2
Amoebobacter pedioformis	7.3
Amoebobacter pendens	7.13
Amoebobacter roseus	7.05
Amorphosporangium auranticolor	7.2
Amorphosporangium globisporum	7.2
Amorphus coralli	7.6
Amorphus orientalis	7.4
Amorphus suaedae	7.6
Ampelomyces quisqualis	5.6
Amphibacillus cookii	8.9
Amphibacillus fermentum	9.75
Amphibacillus indicireducens	7.3
Amphibacillus jilinensis	7.3
Amphibacillus marinus	7.3
Amphibacillus sediminis	7.3
Amphibacillus tropicus	8.52
Amphibacillus xylanus	9.7
Amphritea atlantica	7.6
Ampullariella campanulata	7.3
Ampullariella digitata	7.3
Ampullariella lobata	7.3
Ampullariella regularis	7.25
Amycolata alni	7.3
Amycolata autotrophica	7.15
Amycolata hydrocarbonoxydans	7.2
Amycolata saturnea	7.04
Amycolatopsis alba	7.2
Amycolatopsis albidoflavus	7.2
Amycolatopsis australiensis	7.24
Amycolatopsis azurea	7.2
Amycolatopsis balhimycina	7.2
Amycolatopsis bartoniae	7.25
Amycolatopsis benzoatilytica	7.2
Amycolatopsis bullii	7.25
Amycolatopsis cihanbeyliensis	7.2
Amycolatopsis circi	7.2
Amycolatopsis coloradensis	7.2
Amycolatopsis decaplanina	7.2
Amycolatopsis dongchuanensis	7.2
Amycolatopsis echigonensis	7.2
Amycolatopsis equina	7.2
Amycolatopsis eurytherma	7.25
Amycolatopsis fastidiosa	7.2
Amycolatopsis halophila	7.6
Amycolatopsis halotolerans	7.2
Amycolatopsis helveola	7.2
Amycolatopsis hippodromi	7.2
Amycolatopsis japonica	7.3
Amycolatopsis japonicum	7.3
Amycolatopsis jejuensis	7.2
Amycolatopsis jiangsuensis	7.2
Amycolatopsis kentuckyensis	7.2
Amycolatopsis keratiniphila	7.2
Amycolatopsis lexingtonensis	7.2
Amycolatopsis lurida	7.2
Amycolatopsis magusensis	7.2
Amycolatopsis marina	7.2
Amycolatopsis mediterranei	7.4
Amycolatopsis minnesotensis	7.2
Amycolatopsis nigrescens	7.2
Amycolatopsis niigatensis	7.2
Amycolatopsis orientalis	7.32
Amycolatopsis palatopharyngis	7.2
Amycolatopsis plumensis	7.2
Amycolatopsis pretoriensis	7.2
Amycolatopsis regifaucium	7.2
Amycolatopsis rifamycinica	7.8
Amycolatopsis rubida	7.2
Amycolatopsis rugosa	7.2
Amycolatopsis saalfeldensis	7.2
Amycolatopsis sacchari	7.26
Amycolatopsis salitolerans	7.2
Amycolatopsis samaneae	7.2
Amycolatopsis sp.	7.2
Amycolatopsis sulphurea	7.5
Amycolatopsis taiwanensis	7.2
Amycolatopsis thailandensis	7.2
Amycolatopsis thermoflava	7.2
Amycolatopsis thermophila	7.2
Amycolatopsis tolypomycina	7.2
Amycolatopsis tucumanensis	7.2
Amycolatopsis ultiminotia	7.2
Amycolatopsis umgeniensis	7.2
Amycolatopsis vancoresmycina	7.3
Amycolatopsis viridis	7.25
Amycolatopsis xylanica	7.2
Amycolicicoccus subflavus	7
Amylostereum areolatum	5.6
Anaeroarcus burkinensis	7
Anaerobacillus alkalidiazotrophicus	8
Anaerobacillus arseniciselenatis	7.93
Anaerobacillus macyae	7.3
Anaerobacter polyendosporus	7
Anaerobaculum hydrogeniformans	7.2
Anaerobaculum mobile	7.2
Anaerobaculum thermoterrenum	7.2
Anaerobiospirillum succiniciproducens	6.97
Anaerobranca californiensis	9.4
Anaerobranca gottschalkii	9.4
Anaerobranca horikoshii	8.5
Anaerobranca zavarzinii	8.5
Anaerocellum thermophilum	7.1
Anaerococcus hydrogenalis	7.2
Anaerococcus lactolyticus	7.2
Anaerococcus murdochii	7.2
Anaerococcus octavius	7.2
Anaerococcus pacaensis	7.2
Anaerococcus prevotii	7.2
Anaerococcus provenciensis	7.2
Anaerococcus senegalensis	7.2
Anaerococcus tetradius	7.13
Anaerococcus vaginalis	7.2
Anaerofilum agile	7.5
Anaerofilum pentosovorans	7.5
Anaerofustis stercorihominis	6.8
Anaerolinea thermolimosa	7
Anaerolinea thermophila	7
Anaeromusa acidaminophila	6.7
Anaeromyxobacter dehalogenans	6.99
Anaerophaga thermohalophila	7.1
Anaerosalibacter bizertensis	7.1
Anaerosinus glycerini	6.75
Anaerosphaera aminiphila	7.2
Anaerospora hongkongensis	7.2
Anaerosporobacter mobilis	7.2
